CustomerID,CustomerName,Gender,Age,City,State,Income,TotalPurchases,PurchaseFrequency,AverageOrderValue,LastPurchaseDays,PreferredCategory,CustomerLifetimeValue,FuturePurchase
C001,Divya Verma,Female,18,Ahmedabad,Gujarat,146958,80,20,2582,36,Groceries,206560,6114.19
C002,Sneha Yadav,Male,58,Ahmedabad,Gujarat,40795,24,2,3274,36,Groceries,78576,1775.86
C003,Rohan Verma,Female,28,Ahmedabad,Gujarat,25860,84,6,3396,26,Electronics,285264,1784.97
C004,Amit Jain,Female,49,Chennai,Tamil Nadu,128694,66,22,4685,43,Beauty,309210,6625.03
C005,Neha Gupta,Female,33,Mumbai,Maharashtra,144879,154,11,1275,27,Electronics,196350,4280.42
C006,Pooja Jain,Male,23,Mumbai,Maharashtra,135268,176,16,2125,69,Fashion,374000,4555.68
C007,Rahul Yadav,Male,26,Lucknow,Uttar Pradesh,101820,64,16,3569,20,Electronics,228416,4662.55
C008,Sneha Mehta,Female,31,Lucknow,Uttar Pradesh,79886,4,1,917,11,Electronics,3668,1271.76
C009,Rohan Nair,Female,43,Chennai,Tamil Nadu,31265,54,9,614,74,Home & Kitchen,33156,1790.56
C010,Yash Yadav,Female,25,Bengaluru,Karnataka,107386,36,6,1116,38,Sports,40176,3071.16
C011,Pooja Patel,Female,19,Jaipur,Rajasthan,62194,48,16,4474,6,Groceries,214752,4256.03
C012,Pooja Jain,Male,18,Kolkata,West Bengal,112498,39,3,3767,72,Beauty,146913,3629.05
C013,Priya Singh,Male,20,Delhi,Delhi,137727,220,20,1325,23,Electronics,291500,5068.77
C014,Rahul Yadav,Male,35,Bengaluru,Karnataka,69131,56,4,2016,47,Beauty,112896,2395.91
C015,Rohan Yadav,Male,54,Lucknow,Uttar Pradesh,85263,133,19,3646,90,Sports,484918,4689.75
C016,Riya Singh,Female,44,Kolkata,West Bengal,41023,18,3,912,46,Sports,16416,1188.16
C017,Neha Patel,Female,40,Jaipur,Rajasthan,66090,133,19,1228,12,Electronics,163324,3147.12
C018,Divya Kumar,Male,59,Hyderabad,Telangana,92221,40,20,3848,90,Fashion,153920,4960.11
C019,Priya Joshi,Female,24,Delhi,Delhi,89820,42,7,3308,13,Electronics,138936,3694.15
C020,Rohan Singh,Female,26,Jaipur,Rajasthan,25769,200,20,1175,62,Home & Kitchen,235000,2918.99
C021,Sneha Mehta,Female,33,Hyderabad,Telangana,84735,117,9,3965,82,Groceries,463905,3504.68
C022,Yash Yadav,Male,21,Delhi,Delhi,87955,11,1,3004,89,Fashion,33044,2682.78
C023,Amit Patel,Male,28,Chennai,Tamil Nadu,89925,24,8,3467,60,Electronics,83208,3643.16
C024,Riya Kumar,Male,43,Hyderabad,Telangana,146637,14,7,3286,43,Beauty,46004,4396.61
