CustomerID,CustomerName,Gender,Age,City,State,Income,TotalPurchases,PurchaseFrequency,AverageOrderValue,LastPurchaseDays,PreferredCategory,CustomerLifetimeValue,FuturePurchase,Cluster
C001,Divya Verma,0,18,0,1,146958,80,20,2582,36,3,206560,6114.19,2
C002,Sneha Yadav,1,58,0,1,40795,24,2,3274,36,3,78576,1775.86,1
C003,Rohan Verma,0,28,0,1,25860,84,6,3396,26,1,285264,1784.97,1
C004,Amit Jain,0,49,2,5,128694,66,22,4685,43,0,309210,6625.03,2
C005,Neha Gupta,0,33,8,3,144879,154,11,1275,27,1,196350,4280.42,0
C006,Pooja Jain,1,23,8,3,135268,176,16,2125,69,2,374000,4555.68,2
C007,Rahul Yadav,1,26,7,7,101820,64,16,3569,20,1,228416,4662.55,2
C008,Sneha Mehta,0,31,7,7,79886,4,1,917,11,1,3668,1271.76,0
C009,Rohan Nair,0,43,2,5,31265,54,9,614,74,4,33156,1790.56,0
C010,Yash Yadav,0,25,1,2,107386,36,6,1116,38,5,40176,3071.16,0
C011,Pooja Patel,0,19,5,4,62194,48,16,4474,6,3,214752,4256.03,1
C012,Pooja Jain,1,18,6,8,112498,39,3,3767,72,0,146913,3629.05,1
C013,Priya Singh,1,20,3,0,137727,220,20,1325,23,1,291500,5068.77,2
C014,Rahul Yadav,1,35,1,2,69131,56,4,2016,47,0,112896,2395.91,0
C015,Rohan Yadav,1,54,7,7,85263,133,19,3646,90,5,484918,4689.75,2
C016,Riya Singh,0,44,6,8,41023,18,3,912,46,5,16416,1188.16,0
C017,Neha Patel,0,40,5,4,66090,133,19,1228,12,1,163324,3147.12,0
C018,Divya Kumar,1,59,4,6,92221,40,20,3848,90,2,153920,4960.11,2
C019,Priya Joshi,0,24,3,0,89820,42,7,3308,13,1,138936,3694.15,1
C020,Rohan Singh,0,26,5,4,25769,200,20,1175,62,4,235000,2918.99,0
C021,Sneha Mehta,0,33,4,6,84735,117,9,3965,82,3,463905,3504.68,1
C022,Yash Yadav,1,21,3,0,87955,11,1,3004,89,2,33044,2682.78,1
C023,Amit Patel,1,28,2,5,89925,24,8,3467,60,1,83208,3643.16,1
C024,Riya Kumar,1,43,4,6,146637,14,7,3286,43,0,46004,4396.61,1
C025,Sneha Joshi,1,42,8,3,92969,198,18,1622,76,2,321156,3773.27,0
C026,Yash Mehta,0,53,0,1,30311,112,8,4579,68,2,512848,3786.53,3
C027,Arjun Singh,0,31,7,7,128355,12,1,2071,5,1,24852,2405.45,0
C028,Priya Nair,0,21,8,3,129724,110,11,5573,37,2,613030,5262.68,2
C029,Riya Yadav,1,21,8,3,108104,198,18,5604,72,0,1109592,5695.36,3
C030,Rahul Verma,1,56,2,5,78707,230,23,2643,31,5,607890,4509.66,3
C031,Pooja Joshi,1,54,3,0,110305,100,10,2187,9,2,218700,3508.96,0
C032,Priya Jain,1,44,5,4,53693,21,3,4632,51,5,97272,2793.59,1
C033,Vikas Mehta,1,60,6,8,96932,63,7,4351,29,0,274113,3621.84,1
C034,Pooja Mehta,0,26,1,2,118016,192,16,3940,78,1,756480,5350.41,2
C035,Yash Gupta,1,18,0,1,131970,224,16,4266,40,3,955584,5344.16,2
C036,Neha Patel,1,50,7,7,50658,40,20,2826,41,2,113040,3746.59,0
C037,Arjun Gupta,1,33,0,1,109478,187,17,3414,86,3,638418,4449.23,2
C038,Anjali Verma,0,52,1,2,147537,10,2,5468,11,0,54680,4548.7,1
C039,Amit Kulkarni,0,60,0,1,43431,2,1,5892,23,2,11784,2387.63,1
C040,Arjun Mehta,1,24,3,0,27747,144,16,4452,1,5,641088,3989.33,3
C041,Arjun Mehta,0,56,2,5,148855,24,12,1095,46,4,26280,4189.47,0
C042,Vikas Singh,0,50,5,4,84150,20,5,1228,21,3,24560,1993.44,0
C043,Karan Sharma,1,58,7,7,90725,70,5,1865,90,2,130550,2880.85,0
C044,Karan Sharma,1,39,4,6,109654,115,23,4992,36,3,574080,5636.67,2
C045,Karan Verma,0,53,9,3,60773,81,9,1198,54,2,97038,2499.83,0
C046,Amit Patel,1,27,4,6,144346,63,9,895,87,1,56385,3546.18,0
C047,Priya Gupta,1,45,2,5,92435,33,3,4671,57,5,154143,3345.68,1
C048,Priya Mehta,0,20,9,3,81886,247,19,4860,1,3,1200420,4855.92,3
C049,Rohan Kulkarni,1,60,1,2,91803,128,16,3002,63,4,384256,4066.64,2
C050,Meera Yadav,0,57,3,0,56551,144,16,2319,54,4,333936,4065.56,0
C051,Pooja Verma,1,44,9,3,141216,9,3,1217,55,0,10953,3268.74,0
C052,Sneha Nair,0,44,8,3,36394,280,20,3282,40,2,918960,4317.24,3
C053,Karan Verma,1,42,5,4,94092,264,24,5446,15,3,1437744,6479.43,3
C054,Riya Singh,1,47,8,3,28890,264,22,4077,21,0,1076328,4754.1,3
C055,Anjali Singh,1,19,1,2,66606,216,24,5986,47,3,1292976,5877.18,3
C056,Nikhil Gupta,0,22,5,4,121276,4,1,643,73,2,2572,2178.47,0
C057,Meera Kulkarni,0,52,0,1,105038,192,24,5480,53,4,1052160,5931.82,3
C058,Amit Patel,0,29,1,2,112313,80,20,3640,9,1,291200,5331.79,2
C059,Karan Sharma,1,56,6,8,35627,88,11,4991,74,4,439208,3956.28,3
C060,Meera Nair,0,45,4,6,33792,204,17,3438,52,0,701352,3551.97,3
C061,Neha Joshi,1,34,6,8,133859,104,8,4136,57,5,430144,4722.43,2
